3,0
13,0
14,0
17,0
1,1
5,1
6,1
7,1
9,1
10,1
11,1
16,1
1,3
2,3
3,3
4,3
5,3
6,3
7,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
7,4
9,4
1,5
2,5
4,5
5,5
7,5
9,5
11,5
12,5
13,5
14,5
16,5
1,6
2,6
7,6
9,6
16,6
1,7
2,7
4,7
5,7
11,7
12,7
13,7
14,7
16,7
1,8
2,8
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
16,8
1,9
16,9
3,10
4,10
5,10
6,10
7,10
9,10
10,10
11,10
12,10
13,10
0,11
1,11
15,11
16,11
17,11
0,12
1,12
3,12
4,12
5,12
6,12
7,12
9,12
10,12
11,12
12,12
13,12
15,12
16,12
17,12
2,14
3,14
4,14
6,14
7,14
9,14
10,14
11,14
13,14
14,14
15,14
2,16
3,16
4,16
6,16
7,16
9,16
10,16
11,16
13,16
14,16
15,16
